"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.1112,1.153,1.1083,1.1132,1.0202,2015-09-25,8.93433636148405e-06,0.999991065663638,1.16240933333333,1.10606666666667,1.11509333333333,1.09477333333333
1.096,1.0756,1.1154,1.1037,0.87272,2015-09-26,5.65810870319979e-05,0.999943418912968,1.183296,1.10553333333333,1.11606666666667,1.09326
1.0721,1.1235,1.0762,1.0782,0.96355,2015-09-27,0.000228769520658538,0.999771230479341,1.20564933333333,1.10408,1.11546,1.09066666666667
1.1087,1.1192,1.088,1.0995,1.1665,2015-09-28,0.00046697694611593,0.999533023053884,1.22313133333333,1.10274,1.11522666666667,1.08844666666667
1.1381,1.14,1.113,1.1259,1.1678,2015-09-29,0.000401565176303361,0.999598434823697,1.228178,1.10066666666667,1.11312,1.08623333333333
1.0728,1.075,1.0661,1.0698,1.0654,2015-09-30,0.000798801791534143,0.999201198208466,1.221238,1.09857333333333,1.11038666666667,1.08464
1.1323,1.1467,1.0694,1.1024,1.5928,2015-10-01,0.000986512206213765,0.999013487793786,1.19089466666667,1.09586,1.10539333333333,1.08426
1.1257,1.1155,1.0835,1.1041,1.3518,2015-10-02,0.000589053441148474,0.999410946558852,1.13328666666667,1.09368666666667,1.09896666666667,1.08574
1.1278,1.1136,1.085,1.1056,1.3515,2015-10-03,0.00060583330854753,0.999394166691453,1.11261866666667,1.09158666666667,1.09562,1.08524666666667
1.0857,1.1208,1.0541,1.0727,1.3494,2015-10-04,0.000340824416311859,0.999659175583688,1.14267733333333,1.08965333333333,1.09494,1.08128
1.0775,1.09,1.0627,1.0721,1.1493,2015-10-05,0.000315482704527087,0.999684517295473,1.12111533333333,1.08817333333333,1.09254666666667,1.08134
1.1012,1.1357,1.0713,1.0896,1.2765,2015-10-06,0.000357554363714598,0.999642445636285,1.12469533333333,1.08652,1.09076,1.07950666666667
1.0824,1.0997,1.0653,1.0756,1.1675,2015-10-07,0.000213292214293284,0.999786707785707,1.10400666666667,1.08324666666667,1.08614666666667,1.07773333333333
1.0812,1.1026,1.1124,1.0975,0.79085,2015-10-08,0.000394097865862052,0.999605902134138,1.08315133333333,1.08490666666667,1.08613333333333,1.08056
1.0718,1.115,1.1154,1.0954,0.71348,2015-10-09,0.00115101063485223,0.998848989365148,1.06599133333333,1.08434,1.08456,1.08074666666667
1.061,1.0843,1.1009,1.0817,0.71018,2015-10-10,0.00738906436865436,0.992610935631346,1.04557642857143,1.08292857142857,1.08068,1.08055
1.0858,1.1239,1.0559,1.0747,1.3236,2015-10-11,0.00835037170125802,0.991649628298742,1.02204384615385,1.08118461538462,1.07731428571429,1.08020769230769
1.0362,1.0509,1.0771,1.056,0.64012,2015-10-12,0.0254125794889643,0.974587420511036,0.994764166666667,1.08189166666667,1.07666923076923,1.08312307692308
1.0819,1.1201,1.0605,1.0747,1.2202,2015-10-13,0.0459884098759211,0.954011590124079,0.963744166666667,1.082025,1.07526153846154,1.08496923076923
1.0689,1.0683,1.0864,1.0768,0.85747,2015-10-14,0.0443188934609664,0.955681106539034,0.921521666666667,1.083025,1.07393846153846,1.08872307692308
1.0418,1.0236,1.0122,1.025,1.6071,2016-09-12,0.0332903003145276,0.966709699685472,1.73906153846154,1.02639230769231,1.04491538461538,1.01298571428571
1.0434,1.0193,1.0122,1.0251,1.6398,2016-09-13,0.0135357214170051,0.986464278582995,1.70550714285714,1.02635714285714,1.04396428571429,1.01326666666667
1.0087,1.0011,1.0084,1.0079,1.0066,2016-09-14,0.00854851525260364,0.991451484747396,1.68622,1.02697333333333,1.04419333333333,1.01185333333333
1.0471,1.0343,1.0097,1.0268,1.8085,2016-09-15,0.0031806428374747,0.996819357162525,1.60415666666667,1.02548,1.04029333333333,1.01268666666667
1.0273,1.0467,1.0144,1.0225,1.2532,2016-09-16,0.000559235775126627,0.999440764224873,1.61650333333333,1.02575333333333,1.04082666666667,1.01262
1.0373,1.032,1.0137,1.0251,1.4695,2016-09-17,0.000305058563765728,0.999694941436234,1.58383,1.02648,1.04102,1.01356666666667
1.0295,1.0018,1.0045,1.0147,1.6091,2016-09-18,0.000205323348801403,0.999794676651199,1.55347666666667,1.02702,1.04128666666667,1.01457333333333
1.0573,1.0263,1.0013,1.0265,2.4747,2016-09-19,3.2435480471685e-05,0.999967564519528,1.53497666666667,1.02674666666667,1.04056,1.01472
1.0316,1.0494,1.0172,1.0259,1.2693,2016-09-20,1.08770328190697e-05,0.999989122967181,1.52289666666667,1.02826,1.04187333333333,1.01605333333333
1.0474,1.0518,1.0227,1.0356,1.4162,2016-09-21,1.17173251442664e-05,0.999988282674856,1.49926333333333,1.03086,1.04386666666667,1.0185
1.024,1.0232,1.0323,1.0279,0.88015,2016-09-22,1.33330828541968e-05,0.999986666917146,1.52883666666667,1.03532,1.04954666666667,1.0215
1.0592,1.0639,1.015,1.0372,1.8564,2016-09-23,1.23243387308275e-05,0.999987675661269,1.55605,1.03788,1.05361333333333,1.02276
1.0527,1.0408,1.0184,1.0348,1.6236,2016-09-24,3.0922449451021e-06,0.999996907755055,1.56545,1.04155333333333,1.05808666666667,1.02562666666667
1.0566,1.0269,1.0221,1.0369,1.5892,2016-09-25,1.39790705088717e-06,0.999998602092949,1.55797666666667,1.04388,1.06059333333333,1.02774666666667
1.0445,1.0268,1.0167,1.0293,1.5213,2016-09-26,6.09925676233339e-07,0.999999390074324,1.55047666666667,1.04804,1.06542666666667,1.03118
1.0615,1.0722,1.0322,1.0477,1.4259,2016-09-27,8.56473184405222e-07,0.999999143526816,1.47617666666667,1.05195333333333,1.06838,1.03542666666667
1.0733,1.1025,1.0489,1.0641,1.2853,2016-09-28,1.93392085898986e-06,0.999998066079141,1.46748333333333,1.05623333333333,1.07272,1.03964
1.0939,1.1004,1.0534,1.0748,1.4502,2016-09-29,3.88520279244947e-06,0.999996114797208,1.44039666666667,1.05926666666667,1.07503333333333,1.04352
1.1081,1.0768,1.0286,1.0652,2.2167,2016-09-30,1.4758421051969e-07,0.999999852415789,1.45010666666667,1.06117333333333,1.07702,1.0448
1.0944,1.1092,1.0574,1.0776,1.3942,2016-10-01,5.10458036001116e-08,0.999999948954196,1.43940666666667,1.06462,1.08110666666667,1.04753333333333
1.0749,1.0631,1.0455,1.06,1.3574,2016-10-02,5.01312898052313e-08,0.99999994986871,1.390786,1.06702,1.08177333333333,1.05126666666667
1.102,1.0703,1.056,1.0771,1.4966,2016-10-03,2.67001608813684e-08,0.999999973299839,1.36245933333333,1.07058,1.08498666666667,1.05544666666667
1.1016,1.1145,1.065,1.0852,1.3602,2016-10-04,1.55642850740396e-08,0.999999984435715,1.34369933333333,1.07398666666667,1.08822,1.05886
1.0967,1.1104,1.0804,1.0901,1.1389,2016-10-05,3.34232636729855e-08,0.999999966576736,1.31679266666667,1.0773,1.09075333333333,1.06314666666667
1.0821,1.0767,1.0809,1.0811,1.0099,2016-10-06,5.09332763236813e-08,0.999999949066724,1.30827266666667,1.08041333333333,1.09372,1.06634
1.0538,1.1002,1.0515,1.0565,1.0258,2016-10-07,1.8285348518243e-07,0.999999817146515,1.27953933333333,1.08198666666667,1.09400666666667,1.06916
1.1205,1.1096,1.056,1.0889,1.6959,2016-10-08,7.81113077032005e-08,0.999999921888692,1.177376,1.08344,1.09102666666667,1.07456
1.0627,1.0979,1.0744,1.0708,0.89429,2016-10-09,7.47367101905275e-08,0.99999992526329,1.14264666666667,1.08568,1.09116,1.07844666666667
1.1048,1.0482,1.0848,1.0903,1.1643,2016-10-10,3.30058888434884e-07,0.999999669941112,1.11474266666667,1.08676666666667,1.09130666666667,1.08104666666667
1.093,1.085,1.0679,1.0804,1.2399,2016-10-11,2.07753688367765e-06,0.999997922463116,1.09736266666667,1.08736,1.09100666666667,1.08210666666667
1.0995,1.0905,1.0965,1.0974,1.0223,2016-10-12,3.21801512258684e-06,0.999996781984877,1.07858857142857,1.08751428571429,1.09025,1.08357333333333
1.1178,1.1502,1.0968,1.1108,1.1575,2016-10-13,1.06916480622716e-05,0.999989308351938,1.05903,1.08600714285714,1.08755714285714,1.08314
1.0982,1.1148,1.0957,1.0984,1.0192,2016-10-14,2.05828870542778e-05,0.999979417112946,1.06645142857143,1.08755,1.08967142857143,1.08418
1.0634,1.1004,1.1096,1.087,0.68425,2016-10-15,2.65454651383264e-05,0.999973454534862,1.06473714285714,1.09025,1.09266428571429,1.08710666666667
1.0964,1.1714,1.1157,1.1112,0.87326,2016-10-16,0.000264470998619936,0.99973552900138,1.01618615384615,1.09035384615385,1.09052307692308,1.08932857142857
1.0771,1.0342,1.0845,1.0763,0.93884,2016-10-17,0.00346858915762595,0.996531410842374,1.02634416666667,1.09198333333333,1.09284166666667,1.09047692307692
1.0975,1.1021,1.0719,1.086,1.2359,2016-10-18,0.00357938070437579,0.996420619295624,1.01380272727273,1.09213636363636,1.09175454545455,1.09095
NA,NA,1.087,NA,NA,2016-10-19,0.00693393592500194,0.993066064074998,0.991193,1.09331,1.09163,1.09304545454545
1.059,1.0983,1.0739,1.069,0.86508,2016-10-20,0.0181511988583308,0.981848801141669,0.987736666666667,1.09285555555556,1.09075555555556,1.0927
1.1117,1.089,1.0965,1.1027,1.1138,2016-10-21,0.0273363910538034,0.972663608946197,0.96651625,1.0906125,1.087375,1.09224444444444
1.0957,1.0815,1.0954,1.0943,1.0018,2016-10-22,0.0264894266902928,0.973510573309707,0.95899,1.0895,1.08582857142857,1.0918125
NA,NA,NA,NA,NA,2016-10-23,0.0228462134635999,0.9771537865364,0.981067142857143,1.09345714285714,1.09108571428571,1.093925
NA,NA,NA,NA,NA,2016-10-24,0.0385565331940694,0.961443466805931,0.976025714285714,1.09704285714286,1.09512857142857,1.09895
NA,NA,NA,NA,NA,2016-10-25,0.0446530992184495,0.95534690078155,1.01076285714286,1.10787142857143,1.10828571428571,1.105575
1.0679,1.0703,1.044,1.0552,1.2961,2017-08-19,0.0238797625114683,0.976120237488532,1.494054,1.06435333333333,1.08476,1.04962
1.0517,1.0599,1.0551,1.0543,0.96258,2017-08-20,0.0129672453843838,0.987032754615616,1.52634357142857,1.06515714285714,1.08686428571429,1.05038666666667
1.0789,1.068,1.0442,1.0589,1.4304,2017-08-21,0.00706934019544235,0.992930659804558,1.53850785714286,1.06737142857143,1.08979285714286,1.05168666666667
1.1464,1.1146,1.0835,1.1088,1.5239,2017-08-22,0.00298296497768679,0.997017035022313,1.46722928571429,1.07040714285714,1.0924,1.05439333333333
1.0995,1.1338,1.0517,1.0762,1.5409,2017-08-23,0.00187378179501362,0.998126218204986,1.43890785714286,1.07357857142857,1.09552857142857,1.05704666666667
1.0762,1.0487,1.0836,1.0776,0.93853,2017-08-24,0.00232186721533883,0.997678132784661,1.42304357142857,1.07577857142857,1.09695,1.05906
