"n","dd","d","all","ratio","date","pv1","pv2","ratio_rm","all_rm","n_rm","d_rm"
1.0726,1.1453,1.1085,1.0947,0.75257,2015-10-15,0.0687289410045577,0.931271058995442,0.945234117647059,1.08377058823529,1.07564444444444,1.08816666666667
1.1087,1.1403,1.0722,1.0939,1.3354,2015-10-16,0.068042367230245,0.931957632769755,0.961016470588235,1.08240588235294,1.07501666666667,1.08672222222222
1.0675,1.0599,NA,NA,NA,2015-10-17,0.061157104738593,0.938842895261407,0.961669411764706,1.08154117647059,1.07419444444444,1.08597222222222
NA,NA,NA,NA,NA,2015-10-18,0.0766184093397364,0.923381590660264,0.977495882352941,1.07854705882353,1.07241111111111,1.08218888888889
NA,NA,1.092,NA,NA,2015-10-19,0.0749866747654893,0.925013325234511,0.978564117647059,1.07516470588235,1.07002222222222,1.07870555555556
1.0592,1.0836,1.0867,1.0737,0.77706,2015-10-20,0.0945114935461977,0.905488506453802,1.00943,1.07513529411765,1.07163333333333,1.07676111111111
1.084,1.1004,1.1201,1.1016,0.76983,2015-10-21,0.12668031425654,0.87331968574346,1.00701823529412,1.07392352941176,1.07047222222222,1.07601666666667
1.0759,1.12,1.1091,1.0944,0.77188,2015-10-22,0.315892038222204,0.684107961777796,1.01853882352941,1.07501176470588,1.07211111111111,1.0765
1.0796,1.1286,1.1186,1.1011,0.74868,2015-10-23,0.397162202066309,0.602837797933691,1.01933882352941,1.07582352941176,1.07313888888889,1.07727222222222
1.0556,1.0789,1.0859,1.071,0.75316,2015-10-24,0.472981822972409,0.527018177027591,1.02739882352941,1.07496470588235,1.07282222222222,1.07601666666667
1.0881,1.1076,1.0487,1.0717,1.4605,2015-10-25,0.470780262828276,0.529219737171724,1.03493352941176,1.07205882352941,1.07102777777778,1.07281111111111
1.0899,1.0603,1.0453,1.0664,1.5448,2015-10-26,0.276344180643728,0.723655819356272,1.016154375,1.07069375,1.06881176470588,1.07284705882353
1.0676,1.0742,1.0518,1.0609,1.1786,2015-10-27,0.124636796109834,0.875363203890166,1.00785294117647,1.07114705882353,1.06904117647059,1.07362222222222
1.0491,1.0443,1.0443,1.0466,1.0599,2015-10-28,0.0849967130827254,0.915003286917275,1.00294166666667,1.07223888888889,1.06990555555556,1.07475789473684
1.0288,1.0103,1.0527,1.0379,0.73164,2015-10-29,0.0959402866837754,0.904059713316225,1.00566052631579,1.0717,1.06962105263158,1.07303157894737
1.09,1.1128,1.0659,1.0812,1.2349,2015-10-30,0.0985499085871497,0.90145009141285,1.01836055555556,1.07244736842105,1.07051578947368,1.07227222222222
1.0649,1.0522,1.0425,1.0541,1.2826,2015-10-31,0.0560480889110783,0.943951911088922,1.01735111111111,1.07004736842105,1.06829473684211,1.06936111111111
1.0657,1.0671,1.0858,1.0745,0.83597,2015-11-01,0.0547936699033288,0.945206330096671,1.04911888888889,1.06627894736842,1.06586842105263,1.06401111111111
1.1004,1.0946,1.0744,1.0885,1.2338,2015-11-02,0.0593148561082769,0.940685143891723,1.06679176470588,1.06434444444444,1.06304736842105,1.0608
1.0632,1.0486,1.0638,1.0622,0.99449,2015-11-03,0.0729186487274802,0.92708135127252,1.05080470588235,1.06147777777778,1.06018947368421,1.05822352941176
1.0403,1.0492,1.0508,1.0453,0.88066,2015-11-04,0.134109543567052,0.865890456432948,1.02519875,1.06087647058824,1.0578,1.05881875
NA,NA,NA,NA,NA,2015-11-05,0.13547247134536,0.86452752865464,0.990558666666667,1.06053125,1.05601666666667,1.05972
1.0714,1.0758,1.0868,1.0784,0.87503,2015-11-06,0.152736347312675,0.847263652687325,0.977127142857143,1.06050666666667,1.05533529411765,1.06028571428571
1.0846,1.1054,1.0952,1.0908,0.91945,2015-11-07,0.25203924719828,0.74796075280172,0.992062857142857,1.05911333333333,1.05426470588235,1.05830714285714
1.0645,1.0631,1.0592,1.062,1.0546,2015-11-08,0.221795195340258,0.778204804659742,1.01209538461538,1.06062857142857,1.05412941176471,1.05873846153846
1.0762,1.0983,NA,1.0879,NA,2015-11-09,0.155631442744098,0.844368557255902,0.993528333333333,1.05904615384615,1.0518875,1.05814166666667
1.0418,1.0832,1.0677,1.056,0.75166,2015-11-10,0.376592322533535,0.623407677466465,0.969145833333333,1.05689230769231,1.04939375,1.05673333333333
1.0298,1.0333,1.0128,1.0228,1.3437,2015-11-11,0.347155444830682,0.652844555169318,1.027565,1.05322307692308,1.0475,1.05044166666667
1.026,1.0285,NA,NA,NA,2015-11-12,0.320757459457736,0.679242540542264,0.985591666666667,1.04886153846154,1.04269375,1.04805
1.0013,1.0126,1.0421,1.0194,0.48138,2015-11-13,0.399582320820669,0.600417679179331,0.960649166666667,1.04726153846154,1.04055,1.04753333333333
1.0427,1.0456,NA,NA,NA,2015-11-14,0.467643854386657,0.532356145613343,0.952605833333333,1.04763846153846,1.0403125,1.04801666666667
NA,NA,NA,NA,NA,2015-11-15,0.386409912568401,0.613590087431599,0.952605833333333,1.04565,1.03868235294118,1.04801666666667
NA,NA,NA,NA,NA,2015-11-16,0.47751509104974,0.52248490895026,0.937805833333333,1.04097857142857,1.03482941176471,1.04281666666667
1.0309,1.0397,1.0166,1.0257,1.269,2015-11-17,0.355420156652234,0.644579843347766,0.930753333333333,1.03588571428571,1.03059411764706,1.03675
1.0265,1.0078,NA,NA,NA,2015-11-18,0.355193132525049,0.644806867474951,0.907698333333333,1.03620714285714,1.02999411764706,1.0385
NA,NA,NA,NA,NA,2015-11-19,0.45814054410623,0.54185945589377,0.909469230769231,1.035,1.02939411764706,1.04120769230769
1.025,1.0355,1.0256,1.0261,0.99001,2015-11-20,0.427706620734019,0.572293379265981,0.923666153846154,1.03300714285714,1.0283,1.0381
1.0354,1.0595,1.0103,1.0268,1.537,2015-11-21,0.254280581394759,0.745719418605241,0.866120769230769,1.03246428571429,1.02667647058824,1.03931538461538
1.0235,1.0144,1.0457,1.0318,0.73012,2015-11-22,0.170944382025602,0.829055617974398,0.866120769230769,1.03152666666667,1.02631176470588,1.03931538461538
1.0289,1.038,1.0576,1.0414,0.69518,2015-11-23,0.208019707968528,0.791980292031472,0.912645384615385,1.0311,1.02708235294118,1.03687692307692
1.0365,1.097,1.0566,1.0502,0.78414,2015-11-24,0.24671363182751,0.75328636817249,0.931627857142857,1.0288975,1.02453,1.033805
1.0126,1.0222,NA,1.0198,NA,2015-11-25,0.335329755286346,0.664670244713654,0.92076,1.02747411764706,1.02317277777778,1.03229133333333
1.0059,1.0015,1.0244,1.013,0.69743,2015-11-26,0.51127681213961,0.48872318786039,0.910548125,1.02673111111111,1.02232684210526,1.031591875
1.0126,1.0456,1.0224,1.0195,0.83482,2015-11-27,0.637572149080587,0.362427850919413,0.909691875,1.02597,1.02161631578947,1.030954375
1.0543,1.0705,1.0802,1.0665,0.77794,2015-11-28,0.768676782357521,0.231323217642479,0.915033529411765,1.02508736842105,1.02070578947368,1.02967470588235
1.066,1.0869,1.0737,1.071,0.93072,2015-11-29,0.769069288104939,0.230930711895061,0.910713888888889,1.025533,1.0211505,1.03038722222222
1.0232,1.0597,1.0273,1.0281,0.93622,2015-11-30,0.80379298764883,0.19620701235117,0.971124444444444,1.026193,1.0226805,1.02939833333333
1.0022,1.0281,1.0286,1.0152,0.59561,2015-12-01,0.875819219238779,0.124180780761221,0.924047222222222,1.02616105263158,1.020431,1.02897055555556
